"n" "ess.old" "ess.new"
10 319.569524626953 217.068011989792
10 379.27907807855 261.607885015676
10 333.081523784187 226.066540549322
10 332.173872506002 225.296614450269
10 327.984162750329 222.893769410705
10 362.367885646175 252.979819821417
10 388.260862426983 266.295900975735
10 310.38148470636 217.106030213949
10 354.668892084716 241.302893646048
10 356.987822914964 241.437328043827
10 303.261747002055 205.704031117315
10 351.766836729697 238.258246239101
10 312.307648715568 211.309205598938
10 311.912845768616 210.373282583521
10 309.841034320449 209.971706250273
10 335.644735261558 230.533687709957
10 355.441865343579 238.063287751305
10 299.063383709878 206.036622540807
10 337.882479323185 225.393089905237
10 341.209069776469 226.240992720624
10 292.119647739521 197.780651680019
10 335.421157697201 222.971357416806
10 299.293718469954 201.299002729702
10 298.684077601825 200.195478008402
10 298.284240766792 201.700525276514
10 321.347518570652 216.882837743572
10 340.713981851545 224.243320588116
10 289.853198376487 196.335275299791
10 325.870464495641 215.948917261829
10 329.517258013955 217.531946970444
10 285.938959588283 195.301495201281
10 326.661621485589 216.150074883274
10 292.652510092572 198.362055468178
10 292.075321018209 198.07518732561
10 291.202782551424 197.765849207568
10 311.242998120387 207.989827358782
10 331.836414938734 219.006782527776
10 284.417668591499 189.821590633295
10 317.016877281895 208.698887918779
10 318.611495174522 209.252622151727
10 282.911425458404 194.984270413901
10 318.083301581479 208.713822846585
10 288.084408326591 197.533406834732
10 288.249589789354 197.337315421771
10 287.594795956658 196.887299080726
10 302.993154773669 199.64092892797
10 322.748912483262 212.745948430513
10 284.841134454239 189.961052584617
10 314.604832760752 209.496629913241
10 317.555748769773 211.007479408762
10 282.793370868023 195.459061302816
10 315.227890332675 208.991807544692
10 289.094344764703 199.292237652634
10 289.365323285041 199.664151364383
10 287.679064572425 198.622450990204
10 301.500378587452 199.431075963501
10 320.053378857658 212.964466412319
10 288.584557781376 193.397058472764
10 317.81416450308 212.056071430301
10 321.571096720097 215.579400217591
10 288.427716281478 201.291631577658
10 316.447554734369 210.713762923333
10 294.331163459753 205.608877922568
10 294.031798012362 204.785537257836
10 292.237994575294 204.460287147363
10 305.895254419307 203.811312120188
10 325.903933154557 217.86743295292
10 305.248690841984 205.487517068675
10 345.595325756869 229.720002284959
10 349.564832725294 233.881795001504
10 309.378481019652 217.816335829688
10 345.868628389241 230.024852502114
10 316.887685654517 224.260771891473
10 316.836038158458 222.808250356747
10 313.471418981552 221.616171016639
10 327.401890768936 217.880939638094
10 355.609649694468 239.026328924006
